caller,reciever,origin,destination
(905) 380-2956,(239) 632-6692,49.248810|-122.980507,52.745920|-111.545150
(639) 859-1886,(667) 378-0675,52.745920|-111.545150,49.337137|-123.165568
(525) 218-6199,(761) 845-8502,49.282730| -123.120735,49.330582|-123.096715
(288) 905-3897,(947) 598-5181,49.104599|-122.823509,49.314470|-122.646460
(887) 368-4417,(492) 852-3891,49.163837|-123.165343,49.307598|-122.960373
(317) 235-2967,(786) 422-2577,49.258932|-122.794755,49.282730| -123.120735
(879) 452-1547,(337) 983-2754,49.197949|-122.646520,49.281267|-122.789008
(871) 630-3414,(975) 708-9736,49.048760|-122.341814,49.265049|-123.253678
(683) 278-1099,(767) 845-3459,49.330582|-123.096715,49.258932|-122.794755
(847) 320-5452,(907) 779-9192,49.100937|-122.682206,49.252053|-123.240638
(432) 338-0440,(440) 570-5661,49.144077|-121.949266,49.248810|-122.980507
(422) 292-6106,(937) 389-5000,49.151263|-122.273127,49.248176|-123.217440
(531) 427-2505,(253) 352-5201,49.314470|-122.646460,49.243178|-123.091588
(702) 978-6841,(707) 348-0323,49.248176|-123.217440,49.209546|-122.904302
(322) 222-2627,(950) 317-4783,49.082951|-123.146067,49.203265|-123.180779
(258) 609-6433,(443) 717-3594,48.840227|-122.582225,49.197949|-122.646520
(656) 347-8905,(632) 694-4536,49.209546|-122.904302,49.176788|-123.088819
(527) 946-1889,(605) 667-6695,49.281267|-122.789008,49.163837|-123.165343
(624) 218-6552,(568) 522-5570,49.176788|-123.088819,49.151263|-122.273127
(464) 752-6441,(884) 606-0711,49.203265|-123.180779,49.144077|-121.949266
(429) 428-3714,(896) 793-9604,49.243178|-123.091588,49.104599|-122.823509
(881) 435-3831,(333) 996-9329,49.307598|-122.960373,49.100937|-122.682206
(625) 655-3503,(408) 968-4232,49.337137|-123.165568,49.082951|-123.146067
(675) 785-4823,(872) 297-4924,49.265049|-123.253678,49.048760|-122.341814
(816) 408-8775,(202) 959-1961,49.252053|-123.240638,48.840227|-122.582225
